id_lotto,id_pa,id_be,object,id_award_procedure,amount,start_date,id_lsf,id_forma_giuridica,cpv,n_winners
19,3316126,2435,93140,"Catetere a palloncino a basso profilo, non compliante,tecnica over the wire, rivestimento idrofilico, portante guida 0.035',  2 lumi,  con palloncino da 5 a 12 mm circa, lunghezza shaft da 70 a 120 cm circa.",1,340800.0,2017-05-01,3,139,33,1
545,5063891,35871,551441,FORNITURA DI PALI IN LEGNO DI CASTAGNO PER L'ANNO 2017,1,150000.0,2017-03-15,3,75,44,1
565,3798492,2997,93221,Servizio Approvvigionamenti - Procedura aperta per l'aggiudicazione dell'Appalto Specifico per l'affidamento della fornitura di prodotti farmaceutici ``in concorrenza`` (n. 121 Lotti) nell'ambito del Sistema Dinamico di Acquisizione della Pubblica Am,1,2425.5,2016-07-01,3,135,33,1
578,5116390,9533,100577,IMPEGNO DI SPESA PER LIQUIDAZIONE INTERVENTI TECNICI DI RIPARAZIONE-MANUTENZIONE MACCHINE D'UFFICIO DA PARTE DELLA DITTA TEAM UFFICIO SNC DI MONTEBELLUNA,1,321.25,2017-01-30,2,15,50,1
1324,1943979,12073,92884,Servizio di vigilanza edifici comunali dal 1.1.2016 al 31.3.2018 - PROROGATO FINO AL 31/5/2018,1,39690.0,2016-01-01,2,15,98,1
1340,4090266,33034,270216,"BS256-15/AP PROCEDURA APERTA PER L'AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE CORRETTIVA, EVOLUTIVA ED EVENTUALE SVILUPPO NUOVI PROGETTI PER I SISTEMI APPLICATIVI SAP DEL GRUPPO VERITAS",1,8671155.0,2016-03-03,2,176,72,1
1446,7439458,35871,91704,FORNITURA DI GASOLIO AGRICOLO PER IL BIENNIO 2017/2018,1,196000.0,2017-03-01,3,75,9,1
1620,5798481,11642,86925,PROROGA CONTRATTO ASSICURATIVO POLIZZA R.C. PATRIMONIALE PERIODO 31.10.2016 - 31.01.2017,1,27500.0,2016-10-31,2,15,66,1
1748,4289240,2435,93140,"CATETERI A PALLONCINO TECNICA MONORAIL E OVER THE WIRE, PER PTA, A BASSO PROFILO, DIAMETRO DEL PALLONCINO DA 4 A 10 MM CIRCA, LUNGHEZZE DEL PALLONCINO VARIE, COMPATIBILE CON GUIDA 0.014- 0.018, COMPATIBILITÀ CON INTRODUTTORE UGUALE O INFERIORE A 6 FR.",1,91200.0,2017-05-01,3,139,33,1
1832,10164774,2995,97629,Gara Regionale per fornitura di prodotti per nutrizione enterale - lotto 9 Impresa Nestle Italiana Spa (Dec. 828-2015).,1,5680.0,2017-01-23,3,135,15,1
2007,5886760,11261,102922,CONCESSIONE DEL SERVIZIO DI TRASPORTO SCOLASTICO SETTEMBRE 2016 / GIUGNO 2019 - APPROVAZIONE RISULTANZE DI GARA E AGGIUDICAZIONE DEFINITIVA ALLA DITTA SAPA S.R.L. DI BASSANO DEL GRAPPA (VI).,1,324000.0,2016-10-27,2,15,60,1
2052,11994686,8732,95952,"Interventi vari presso le centrali termiche della scuola primaria, asilo nido e ufficio segreteria del Municipio. Affidamento alla ditta Carbotermo spa con sede a Milano. Impegno di spesa. CIG Z891B00F54.",1,9776.0,2016-08-29,1,15,80,1
2054,79704653,3028,270216,"GARA DAPPALTO, A MEZZO PROCEDURA APERTA, PER LAFFIDAMENTO, (PER LA DURATA DI CINQUE ANNI, CON FACOLTÀ DI RINNOVO DI UN ANNO NONCHÉ DI PROROGA TECNICA DI 180 GIORNI), DEL SERVIZIO DI IMPLEMENTAZIONE DEL SISTEMA INFORMATIVO A SUPPORTO DELLA RETE ONCOLOGICA VENETA (ROV)",1,1912500.0,2018-05-01,2,135,72,2
2134,6166205,32637,112256,LOTTO N. 1 - SERVIZIO RISTORAZIONE SCOLASTICA PER CONTO COMUNE DI CALDIERO,1,235210.0,2017-03-01,2,20,55,1
