id_scelta_contraente,procedura,tipo_procedura
23,AFFIDAMENTO DIRETTO,affidamento
08,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,affidamento
17,AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE 381/91,affidamento
24,AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,affidamento
25,AFFIDAMENTO DIRETTO A SOCIETA' RAGGRUPPATE/CONSORZIA...,affidamento
31,AFFIDAMENTO DIRETTO PER VARIANTE SUPERIORE AL 20% DE...,affidamento
32,AFFIDAMENTO RISERVATO,affidamento
36,AFFIDAMENTO DIRETTO PER LAVORI SERVIZI O FORNITURE ...,affidamento
04,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,negoziata
06,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (...,negoziata
33,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,negoziata
07,SISTEMA DINAMICO DI ACQUISIZIONE,negoziata
03,PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,negoziata
22,PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SE...,negoziata
05,DIALOGO COMPETITIVO,negoziata
38,PROCEDURA DISCIPLINATA DA REGOLAMENTO INTERNO PER SE...,negoziata
30,PROCEDURA DERIVANTE DA LEGGE REGIONALE,negoziata
37,PROCEDURA COMPETITIVA CON NEGOZIAZIONE,negoziata
35,PARTERNARIATO PER L’INNOVAZIONE,negoziata
34,PROCEDURA ART.16 COMMA 2-BIS DPR 380/2001 PER OPERE ...,negoziata
26,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CO...,adesione
27,CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/...,adesione
01,PROCEDURA APERTA,aperta
02,PROCEDURA RISTRETTA,ristretta
14,PROCEDURA SELETTIVA EX ART 238 C.7 D.LGS. 163/2006,ristretta
21,PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI I...,ristretta
29,PROCEDURA RISTRETTA SEMPLIFICATA,ristretta
28,PROCEDURA AI SENSI DEI REGOLAMENTI DEGLI ORGANI COST...,proc_reg_org_cost
